api_name,football_data_name
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Burnley,Burnley
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Leeds,Leeds
Leicester,Leicester
Liverpool,Liverpool
Manchester City,Man City
Manchester United,Man United
Newcastle,Newcastle
Newcastle United,Newcastle
Nottingham Forest,Nott'm Forest
Sunderland,Sunderland
Tottenham,Tottenham
Tottenham Hotspur,Tottenham
West Ham,West Ham
West Ham United,West Ham
Wolves,Wolves
Wolverhampton Wanderers,Wolves
